 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
38:36 |   192 |     5.000e-05 |     0.3395 |          0.6084 |     0.6083 |            7196
51:21 |   193 |     5.000e-05 |     0.3442 |          0.7008 |     0.7008 |            7196
04:06 |   194 |     5.000e-05 |     0.3497 |          0.7446 |     0.7447 |            7196
16:52 |   195 |     5.000e-05 |     0.3475 |          0.6518 |     0.6518 |            7196
29:35 |   196 |     5.000e-05 |     0.3484 |          0.4800 |     0.4800 |            7196
42:19 |   197 |     5.000e-05 |     0.3444 |          0.4926 |     0.4926 |            7196
54:59 |   198 |     5.000e-05 |     0.3435 |          0.4682 |     0.4682 |            7196
07:41 |   199 |     5.000e-05 |     0.3510 |          0.5555 |     0.5556 |            7196
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
51:21 |   200 |     5.000e-05 |     0.3465 |          0.5439 |     0.5439 |            7091
04:04 |   201 |     5.000e-05 |     0.3438 |          1.2672 |     1.2671 |            7092
16:48 |   202 |     5.000e-05 |     0.3458 |          1.0251 |     1.0252 |            7092
29:29 |   203 |     5.000e-05 |     0.3508 |          0.3734 |     0.3734 |            7092
42:09 |   204 |     5.000e-05 |     0.3284 |          0.4277 |     0.4278 |            7118
54:51 |   205 |     5.000e-05 |     0.3417 |          0.8643 |     0.8644 |            7118
07:31 |   206 |     5.000e-05 |     0.3412 |          0.3412 |     0.3412 |            7118
20:12 |   207 |     5.000e-05 |     0.3430 |          0.5544 |     0.5544 |            7162
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
41:48 |   208 |     5.000e-05 |     0.3411 |          0.5431 |     0.5431 |            7042
54:25 |   209 |     5.000e-05 |     0.3384 |          0.6905 |     0.6906 |            7042
07:09 |   210 |     5.000e-05 |     0.3369 |          0.4235 |     0.4236 |            7042
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
32:27 |   211 |     5.000e-05 |     0.3379 |          0.4178 |     0.4179 |            7021
45:06 |   212 |     5.000e-05 |     0.3421 |          1.0589 |     1.0588 |            7021
57:47 |   213 |     5.000e-05 |     0.3465 |          0.6800 |     0.6800 |            7021
10:29 |   214 |     5.000e-05 |     0.3372 |          0.4478 |     0.4479 |            7186
23:11 |   215 |     5.000e-05 |     0.3417 |          0.3269 |     0.3269 |            7186
35:57 |   216 |     5.000e-05 |     0.3380 |          0.5430 |     0.5431 |            7186
48:46 |   217 |     5.000e-05 |     0.3315 |          0.4143 |     0.4144 |            7186
01:33 |   218 |     5.000e-05 |     0.3412 |          0.4786 |     0.4786 |            7186
14:25 |   219 |     5.000e-05 |     0.3390 |          0.4111 |     0.4112 |            7186
27:11 |   220 |     5.000e-05 |     0.3395 |          0.6987 |     0.6989 |            7186
39:54 |   221 |     5.000e-05 |     0.3354 |          0.3649 |     0.3649 |            7186
52:30 |   222 |     5.000e-05 |     0.3348 |          0.3789 |     0.3790 |            7186
05:14 |   223 |     5.000e-05 |     0.3399 |          1.0423 |     1.0422 |            7195
18:01 |   224 |     5.000e-05 |     0.3339 |          0.4992 |     0.4992 |            7195
30:45 |   225 |     5.000e-05 |     0.3323 |          0.5247 |     0.5249 |            7195
43:26 |   226 |     5.000e-05 |     0.3411 |          0.7151 |     0.7151 |            7195
56:08 |   227 |     5.000e-05 |     0.3286 |          0.7104 |     0.7104 |            7195
08:51 |   228 |     5.000e-05 |     0.3377 |          0.3878 |     0.3879 |            7195
21:38 |   229 |     5.000e-05 |     0.3331 |          0.5033 |     0.5033 |            7195
34:19 |   230 |     5.000e-05 |     0.3329 |          0.7073 |     0.7074 |            7195
47:01 |   231 |     5.000e-05 |     0.3387 |          0.8844 |     0.8845 |            7195
59:43 |   232 |     5.000e-05 |     0.3333 |          0.6230 |     0.6229 |            7195
12:21 |   233 |     5.000e-05 |     0.3348 |          0.3596 |     0.3596 |            7195
25:02 |   234 |     5.000e-05 |     0.3232 |          0.3540 |     0.3541 |            7195
37:44 |   235 |     5.000e-05 |     0.3232 |          0.8125 |     0.8125 |            7195
50:30 |   236 |     5.000e-05 |     0.3331 |          0.3665 |     0.3665 |            7195
03:08 |   237 |     5.000e-05 |     0.3297 |          0.3718 |     0.3718 |            7195
15:43 |   238 |     5.000e-05 |     0.3256 |          0.6541 |     0.6540 |            7195
28:28 |   239 |     5.000e-05 |     0.3324 |          0.3387 |     0.3387 |            7195
